MouseNum	Strain	Diet	Beef-Cooked-Powdered	Casein	Chicken-Powdered	Egg-White	Fish-Protein-Isolate	Peanut-Flour	Wheat-Gluten	Pea-Protein	Soy-Protein-Isolate	L-Cystine	Corn-Starch	Maltodextrin	Wheat-Starch	Rice-Starch	Potato-Starch	Fructose	Glucose-Dextrose	Lactose	Sucrose	Cellulose	Inulin	Pectin	Psyllium-Husk 	Beta-Glucan	Beef-Fat-Bunge	Butter-Anhydrous	Canola-Oil	Cocoa-Butter	Corn-Oil	Corn-Oil-Hydrog	Flaxseed-Oil	Menhaden-Oil	Olive-Oil	Peanut-Oil	Safflower-Oil	Soybean-Oil	Mineral-Mix-S10026A	Dicalcium-Phosphate	Calcium-Carbonate	Potassium-Citrate	Vitamin-Mix-V10001	Beta-Carotene	Biotin	Choline-Bitartrate	Cholesterol	Indole-3-Carbinol	Sulforaphane	Red-Dye	Yellow-Dye	Blue-Dye
1	C57	American	39.85	37.62	23.4	20.38	0	15.3	27.08	25.26	0	0.555	54.65	0	197.14	11.12	40.64	39.18	54.31	11.85	84.37	13.94	0	4.04	5.5	44.12	13.72	46.35	0	0	42.1	9.8	4.5	0	15.45	0	0	0	5	13	5.5	16.5	10	0.241	0.1	2	0.218	0	0	0	0	0
2	C57	American	39.85	37.62	23.4	20.38	0	15.3	27.08	25.26	0	0.555	54.65	0	197.14	11.12	40.64	39.18	54.31	11.85	84.37	13.94	0	4.04	5.5	44.12	13.72	46.35	0	0	42.1	9.8	4.5	0	15.45	0	0	0	5	13	5.5	16.5	10	0.241	0.1	2	0.218	0	0	0	0	0
3	C57	American	39.85	37.62	23.4	20.38	0	15.3	27.08	25.26	0	0.555	54.65	0	197.14	11.12	40.64	39.18	54.31	11.85	84.37	13.94	0	4.04	5.5	44.12	13.72	46.35	0	0	42.1	9.8	4.5	0	15.45	0	0	0	5	13	5.5	16.5	10	0.241	0.1	2	0.218	0	0	0	0	0
4	C57	American	39.85	37.62	23.4	20.38	0	15.3	27.08	25.26	0	0.555	54.65	0	197.14	11.12	40.64	39.18	54.31	11.85	84.37	13.94	0	4.04	5.5	44.12	13.72	46.35	0	0	42.1	9.8	4.5	0	15.45	0	0	0	5	13	5.5	16.5	10	0.241	0.1	2	0.218	0	0	0	0	0
5	C57	Mediterranean	19	34.07	16.54	7.47	16.53	30.22	29.8	31.46	0	0.513	0	0	218.34	50.72	75.87	62.95	61.88	8.26	28.24	53.62	0	14.54	5.5	30.58	4.76	12.86	0	0	0	3.1	1.84	13.42	80.9	0	20.7	0	5	13	5.5	16.5	10	2.128	0.1	2	0.263	0.0181	0.0053	0	0	0
6	C57	Mediterranean	19	34.07	16.54	7.47	16.53	30.22	29.8	31.46	0	0.513	0	0	218.34	50.72	75.87	62.95	61.88	8.26	28.24	53.62	0	14.54	5.5	30.58	4.76	12.86	0	0	0	3.1	1.84	13.42	80.9	0	20.7	0	5	13	5.5	16.5	10	2.128	0.1	2	0.263	0.0181	0.0053	0	0	0
7	C57	Mediterranean	19	34.07	16.54	7.47	16.53	30.22	29.8	31.46	0	0.513	0	0	218.34	50.72	75.87	62.95	61.88	8.26	28.24	53.62	0	14.54	5.5	30.58	4.76	12.86	0	0	0	3.1	1.84	13.42	80.9	0	20.7	0	5	13	5.5	16.5	10	2.128	0.1	2	0.263	0.0181	0.0053	0	0	0
8	C57	Mediterranean	19	34.07	16.54	7.47	16.53	30.22	29.8	31.46	0	0.513	0	0	218.34	50.72	75.87	62.95	61.88	8.26	28.24	53.62	0	14.54	5.5	30.58	4.76	12.86	0	0	0	3.1	1.84	13.42	80.9	0	20.7	0	5	13	5.5	16.5	10	2.128	0.1	2	0.263	0.0181	0.0053	0	0	0
9	C57	Vegetarian	0	32.81	0	19.51	0	51.41	41.71	24.43	19.56	0.492	19.72	0	20803%	19.99	49.71	41.25	47.14	41.83	46.3	75.38	0	19.17	5.5	51.4	0	36.58	15	3.16	6.16	4	3.25	0	6.23	25.83	10.67	31.63	5	13	5.5	16.5	10	1.925	0.1	2	0.08	0.0185	0.0054	0	0	0
10	C57	Vegetarian	0	32.81	0	19.51	0	51.41	41.71	24.43	19.56	0.492	19.72	0	20803%	19.99	49.71	41.25	47.14	41.83	46.3	75.38	0	19.17	5.5	51.4	0	36.58	15	3.16	6.16	4	3.25	0	6.23	25.83	10.67	31.63	5	13	5.5	16.5	10	1.925	0.1	2	0.08	0.0185	0.0054	0	0	0
11	C57	Vegetarian	0	32.81	0	19.51	0	51.41	41.71	24.43	19.56	0.492	19.72	0	20803%	19.99	49.71	41.25	47.14	41.83	46.3	75.38	0	19.17	5.5	51.4	0	36.58	15	3.16	6.16	4	3.25	0	6.23	25.83	10.67	31.63	5	13	5.5	16.5	10	1.925	0.1	2	0.08	0.0185	0.0054	0	0	0
