Gene	Module	kME
ENSMUSG00000000001	P3_I9_M6	0.89
ENSMUSG00000000028	P1_I9_M1	0.89
ENSMUSG00000000031	P1_I9_M4	0.95
ENSMUSG00000000037	P3_I9_M6	0.9
ENSMUSG00000000049	P1_I9_M2	0.9
ENSMUSG00000000056	UNCLASSIFIED	NA
ENSMUSG00000000058	P3_I9_M2	0.9
ENSMUSG00000000078	P1_I9_M1	0.93
ENSMUSG00000000085	P1_I9_M1	0.94
ENSMUSG00000000088	P1_I9_M7	0.82
ENSMUSG00000000093	P4_I9_M10	0.94
ENSMUSG00000000094	UNCLASSIFIED	NA
ENSMUSG00000000120	P2_I12_M15	0.81
ENSMUSG00000000126	P1_I9_M1	0.84
ENSMUSG00000000127	P1_I9_M1	0.91
ENSMUSG00000000131	P3_I9_M1	0.95
ENSMUSG00000000134	P1_I9_M1	0.92
ENSMUSG00000000142	P3_I9_M4	0.83
ENSMUSG00000000148	P1_I9_M1	0.95
ENSMUSG00000000149	UNCLASSIFIED	NA
ENSMUSG00000000154	P1_I9_M2	0.9
ENSMUSG00000000157	P2_I12_M10	0.91
ENSMUSG00000000159	P1_I9_M2	0.92
ENSMUSG00000000167	P3_I9_M1	0.94
ENSMUSG00000000168	P3_I9_M21	0.95
ENSMUSG00000000171	P1_I9_M7	0.87
ENSMUSG00000000183	P1_I9_M4	0.88
ENSMUSG00000000184	P4_I9_M7	0.93
ENSMUSG00000000194	P1_I9_M1	0.98
ENSMUSG00000000197	P9_I6_M2	0.89
ENSMUSG00000000202	UNCLASSIFIED	NA
ENSMUSG00000000204	UNCLASSIFIED	NA
ENSMUSG00000000214	UNCLASSIFIED	NA
ENSMUSG00000000216	UNCLASSIFIED	NA
ENSMUSG00000000223	P5_I8_M7	0.87
ENSMUSG00000000244	P4_I9_M10	0.81
ENSMUSG00000000247	P1_I9_M2	0.93
ENSMUSG00000000248	UNCLASSIFIED	NA
ENSMUSG00000000253	P12_I2_M1	0.81
ENSMUSG00000000263	UNCLASSIFIED	NA
ENSMUSG00000000266	P1_I9_M1	0.93
ENSMUSG00000000275	UNCLASSIFIED	NA
ENSMUSG00000000276	P4_I9_M17	0.92
ENSMUSG00000000278	P1_I9_M1	0.89
ENSMUSG00000000282	P3_I9_M1	0.92
ENSMUSG00000000290	P2_I12_M1	0.94
ENSMUSG00000000295	P3_I9_M2	0.92
ENSMUSG00000000296	UNCLASSIFIED	NA
ENSMUSG00000000301	P1_I9_M2	0.98
ENSMUSG00000000303	P2_I12_M10	0.9
ENSMUSG00000000305	P4_I9_M21	0.9
ENSMUSG00000000308	P4_I9_M6	0.86
ENSMUSG00000000317	P3_I9_M4	0.91
ENSMUSG00000000318	P3_I9_M15	0.87
ENSMUSG00000000320	P1_I9_M3	0.95
ENSMUSG00000000326	UNCLASSIFIED	NA
ENSMUSG00000000339	P3_I9_M7	0.9
